time Area Area_std NumInNet
2337400 907.7485 117.43259 1021.6667
2337600 907.81606 117.44992 1021.6667
2337800 907.87916 117.47224 1021.6667
2338000 907.95069 117.51359 1021.6667
2338200 908.04091 117.54108 1021.6667
2338400 908.09897 117.57262 1021.6667
2338600 908.17066 117.59263 1021.6667
2338800 908.23767 117.61958 1021.6667
2339000 908.31029 117.6648 1021.6667
2339200 908.38511 117.69215 1021.6667
2339400 908.46393 117.71469 1021.6667
2339600 908.55092 117.73899 1021.6667
2339800 908.62981 117.7638 1022.3333
2340000 908.70854 117.7791 1022.3333
2340200 908.79892 117.7918 1021.6667
2340400 908.88033 117.82228 1021.6667
2340600 908.96769 117.80779 1021.6667
2340800 909.06139 117.81575 1021.6667
2341000 909.13972 117.82947 1021.6667
2341200 909.22372 117.84183 1021.6667
2341400 909.31491 117.8597 1021.6667
2341600 909.40257 117.86733 1021.6667
2341800 909.49655 117.88774 1022
2342000 909.59069 117.91072 1022
2342200 909.70334 117.91986 1022
2342400 909.80423 117.93047 1022
2342600 909.89095 117.94872 1022
2342800 909.98262 117.96459 1022
2343000 910.07255 117.98429 1022
2343200 910.1682 118.00343 1022.6667
2343400 910.26064 118.01315 1022.6667
2343600 910.3546 118.02736 1022.6667
2343800 910.44573 118.0378 1022.6667
2344000 910.54833 118.05888 1022.6667
2344200 910.64409 118.08874 1022.6667
2344400 910.74268 118.09323 1022.6667
2344600 910.83934 118.10583 1022.6667
2344800 910.92082 118.10946 1022.6667
2345000 911.00182 118.10252 1022.6667
2345200 911.07923 118.11753 1022.6667
2345400 911.15979 118.13014 1022.6667
2345600 911.24139 118.13401 1022.6667
2345800 911.32153 118.13742 1022.6667
2346000 911.43056 118.13411 1022.6667
2346200 911.51181 118.1583 1022.6667
2346400 911.60217 118.16636 1022.6667
2346600 911.70893 118.17348 1022.6667
2346800 911.79741 118.18616 1022.6667
2347000 911.8909 118.19458 1022.6667
2347200 911.99246 118.1877 1022.6667
2347400 912.08653 118.19988 1022.6667
2347600 912.18767 118.19966 1022.6667
2347800 912.28819 118.21316 1022.6667
2348000 912.39882 118.23025 1022.6667
2348200 912.50419 118.24315 1022.6667
2348400 912.60663 118.25703 1022.6667
2348600 912.71453 118.2612 1022.6667
2348800 912.82701 118.26997 1023.3333
2349000 912.9294 118.27796 1023.3333
2349200 913.0344 118.28136 1024
2349400 913.14746 118.28743 1024
2349600 913.24732 118.28927 1024
2349800 913.35289 118.28043 1024
2350000 913.44623 118.26925 1024
2350200 913.53161 118.27753 1024
2350400 913.60784 118.27264 1024
