time Area Area_std
3619400 1166.4434 163.79519
3619600 1166.5335 163.82494
3619800 1166.6401 163.84725
3620000 1166.7444 163.88229
3620200 1166.8515 163.92645
3620400 1166.9442 163.98175
3620600 1167.0313 164.01435
3620800 1167.1258 164.06237
3621000 1167.2092 164.10604
3621200 1167.2829 164.12098
3621400 1167.3777 164.14534
3621600 1167.4651 164.16639
3621800 1167.5697 164.18078
3622000 1167.6492 164.21302
3622200 1167.7191 164.23214
3622400 1167.804 164.25509
3622600 1167.9011 164.28445
3622800 1167.9837 164.31817
3623000 1168.1076 164.35904
3623200 1168.2058 164.37553
3623400 1168.3034 164.42569
3623600 1168.3901 164.4523
3623800 1168.4677 164.46508
3624000 1168.5685 164.51309
3624200 1168.6753 164.56249
3624400 1168.7765 164.60191
3624600 1168.8591 164.63162
3624800 1168.9553 164.66139
3625000 1169.0451 164.69046
3625200 1169.123 164.72006
3625400 1169.23 164.77396
3625600 1169.3391 164.81287
3625800 1169.4292 164.85516
3626000 1169.5122 164.87644
3626200 1169.6017 164.9045
3626400 1169.7083 164.95384
3626600 1169.7963 165.00338
3626800 1169.8967 165.05741
3627000 1170.0104 165.07983
3627200 1170.0947 165.11683
3627400 1170.1787 165.15693
3627600 1170.2721 165.20027
3627800 1170.3587 165.24805
3628000 1170.4501 165.29201
3628200 1170.5555 165.33526
3628400 1170.6554 165.36806
3628600 1170.7552 165.40672
3628800 1170.8399 165.45011
3629000 1170.926 165.47879
3629200 1171.0047 165.51955
3629400 1171.1215 165.57154
3629600 1171.2109 165.6148
3629800 1171.2947 165.63921
3630000 1171.3688 165.67289
3630200 1171.4681 165.70684
3630400 1171.5631 165.74384
3630600 1171.6468 165.75935
3630800 1171.7332 165.79567
3631000 1171.8339 165.836
3631200 1171.9267 165.88144
3631400 1172.0169 165.90907
3631600 1172.1174 165.96597
3631800 1172.2146 165.96845
3632000 1172.3191 166.00551
3632200 1172.4039 166.04941
3632400 1172.4802 166.10241
3632600 1172.5433 166.14188
3632800 1172.6184 166.16416
3633000 1172.7101 166.20047
3633200 1172.804 166.2481
3633400 1172.8823 166.29058
3633600 1172.9791 166.32111
3633800 1173.063 166.36048
3634000 1173.1402 166.39001
3634200 1173.2119 166.42569
3634400 1173.3056 166.46965
3634600 1173.4009 166.50235
3634800 1173.5065 166.53576
3635000 1173.5827 166.55975
3635200 1173.6737 166.61307
3635400 1173.7568 166.62916
3635600 1173.83 166.65986
3635800 1173.922 166.70624
3636000 1174.0037 166.73774
3636200 1174.1067 166.7823
3636400 1174.191 166.81227
3636600 1174.2718 166.85921
3636800 1174.3447 166.92174
3637000 1174.4138 166.98006
3637200 1174.4923 167.03232
3637400 1174.5721 167.06656
3637600 1174.6545 167.10292
3637800 1174.7526 167.15216
3638000 1174.8432 167.17249
3638200 1174.9452 167.18763
3638400 1175.0404 167.21559
3638600 1175.1405 167.25276
3638800 1175.2265 167.29344
3639000 1175.3137 167.32681
3639200 1175.4338 167.35445
3639400 1175.5274 167.37027
3639600 1175.6327 167.3848
3639800 1175.7311 167.40887
3640000 1175.8339 167.44305
3640200 1175.9022 167.48841
3640400 1176.0062 167.5188
3640600 1176.1053 167.56758
3640800 1176.1867 167.58561
3641000 1176.2734 167.65304
3641200 1176.3478 167.68841
3641400 1176.4416 167.74719
3641600 1176.5331 167.79993
3641800 1176.6158 167.83057
3642000 1176.6989 167.87204
3642200 1176.79 167.91232
3642400 1176.88 167.94568
3642600 1176.9672 167.982
3642800 1177.0351 168.01086
3643000 1177.1132 168.04388
3643200 1177.19 168.07604
3643400 1177.2793 168.12452
3643600 1177.3699 168.15414
3643800 1177.4516 168.20543
3644000 1177.5223 168.26354
3644200 1177.6012 168.28936
3644400 1177.6752 168.33028
3644600 1177.7422 168.36299
3644800 1177.8127 168.39899
3645000 1177.9002 168.44837
3645200 1178.002 168.48847
3645400 1178.0937 168.50475
3645600 1178.1915 168.54903
3645800 1178.2936 168.60432
3646000 1178.3783 168.63343
3646200 1178.5107 168.66365
3646400 1178.618 168.69855
3646600 1178.7182 168.72924
3646800 1178.8176 168.76118
3647000 1178.9298 168.80647
3647200 1179.0236 168.85523
3647400 1179.1071 168.88641
3647600 1179.2054 168.91157
3647800 1179.3032 168.94754
3648000 1179.4071 169.01131
3648200 1179.5283 169.05568
3648400 1179.6053 169.08592
3648600 1179.7097 169.13192
3648800 1179.8078 169.18076
3649000 1179.9149 169.2111
3649200 1180.0135 169.25604
3649400 1180.0908 169.28095
3649600 1180.1678 169.31516
3649800 1180.2595 169.35607
3650000 1180.3516 169.39625
3650200 1180.4331 169.42733
3650400 1180.5347 169.46347
3650600 1180.6187 169.49468
3650800 1180.7164 169.53987
3651000 1180.8262 169.57905
3651200 1180.9333 169.61613
3651400 1181.021 169.66035
3651600 1181.1194 169.69453
3651800 1181.2302 169.73578
3652000 1181.3461 169.77449
3652200 1181.4427 169.82354
3652400 1181.538 169.86594
3652600 1181.6336 169.90217
3652800 1181.7411 169.93845
3653000 1181.8299 170.00076
3653200 1181.9131 170.04405
3653400 1182.0073 170.07942
3653600 1182.1138 170.12179
3653800 1182.2121 170.15683
3654000 1182.2972 170.18772
3654200 1182.406 170.22333
3654400 1182.4998 170.25184
3654600 1182.6041 170.29913
3654800 1182.6959 170.34189
3655000 1182.7743 170.39414
3655200 1182.8407 170.42866
3655400 1182.9274 170.46128
3655600 1183.0165 170.49661
3655800 1183.1033 170.5257
3656000 1183.2022 170.55395
3656200 1183.3187 170.5957
3656400 1183.4082 170.62475
3656600 1183.4884 170.63248
3656800 1183.5878 170.67276
3657000 1183.6602 170.69323
3657200 1183.7576 170.73201
3657400 1183.8355 170.75595
3657600 1183.9104 170.78342
3657800 1184.0085 170.82404
3658000 1184.1114 170.85893
3658200 1184.2021 170.89598
3658400 1184.2977 170.91624
3658600 1184.3934 170.93251
3658800 1184.4941 170.98883
3659000 1184.5837 171.02034
3659200 1184.6766 171.0708
3659400 1184.7667 171.10283
3659600 1184.8599 171.14275
3659800 1184.9431 171.18303
3660000 1185.0457 171.20549
3660200 1185.159 171.25501
3660400 1185.2734 171.30961
3660600 1185.3754 171.36217
3660800 1185.4738 171.41502
3661000 1185.561 171.47491
3661200 1185.6491 171.50707
3661400 1185.7343 171.55944
3661600 1185.8019 171.59382
3661800 1185.8852 171.63322
3662000 1185.98 171.6754
3662200 1186.0667 171.69915
3662400 1186.143 171.71048
3662600 1186.2182 171.75042
3662800 1186.3105 171.79289
3663000 1186.4003 171.84397
3663200 1186.4973 171.88875
3663400 1186.5973 171.91684
3663600 1186.708 171.95481
3663800 1186.8072 171.9693
3664000 1186.9142 171.99814
3664200 1186.994 172.02423
3664400 1187.079 172.08303
3664600 1187.184 172.12801
3664800 1187.2934 172.17773
3665000 1187.3792 172.23149
3665200 1187.4794 172.25659
3665400 1187.5742 172.3007
3665600 1187.6562 172.3353
3665800 1187.7182 172.38868
3666000 1187.7975 172.44937
3666200 1187.8799 172.48246
