Time Strain Concentration
166400 0.047668534 0.18322649
166600 0.047720844 0.1832082
166800 0.047793535 0.18318278
167000 0.047863332 0.18315837
167200 0.047975557 0.18311915
167400 0.048030775 0.18309985
167600 0.048087174 0.18308015
167800 0.048127883 0.18306593
168000 0.048176818 0.18304883
168200 0.04821667 0.18303491
168400 0.04825447 0.18302171
168600 0.04829161 0.18300875
168800 0.048341665 0.18299127
169000 0.048421197 0.18296351
169200 0.048484565 0.18294139
169400 0.048507888 0.18293325
169600 0.048542747 0.18292109
169800 0.048579265 0.18290835
170000 0.048611473 0.18289712
170200 0.048645485 0.18288525
170400 0.048689029 0.18287006
170600 0.048739738 0.18285238
170800 0.0487324 0.18285494
171000 0.04879244 0.182834
171200 0.048784009 0.18283694
171400 0.048813648 0.18282661
171600 0.048831296 0.18282046
171800 0.048852666 0.18281301
172000 0.04890463 0.18279489
172200 0.048936725 0.18278371
172400 0.049001639 0.18276109
172600 0.049051603 0.18274368
172800 0.049117848 0.1827206
173000 0.049180064 0.18269893
173200 0.049207241 0.18268947
173400 0.049204108 0.18269056
173600 0.049219828 0.18268508
173800 0.049239629 0.18267819
174000 0.049282634 0.18266321
174200 0.049307999 0.18265438
174400 0.049340029 0.18264323
174600 0.049373353 0.18263163
174800 0.049423779 0.18261408
175000 0.049473521 0.18259677
175200 0.049543364 0.18257247
175400 0.049609618 0.18254942
175600 0.04966186 0.18253125
175800 0.04971016 0.18251445
176000 0.049793922 0.18248533
176200 0.049891648 0.18245136
176400 0.049991187 0.18241677
176600 0.050085417 0.18238403
176800 0.050156666 0.18235928
177000 0.050213639 0.1823395
177200 0.050285606 0.18231451
177400 0.050359695 0.18228879
177600 0.050394832 0.1822766
177800 0.050437531 0.18226178
178000 0.050520462 0.182233
178200 0.05058209 0.18221162
178400 0.05061929 0.18219872
178600 0.05067697 0.18217872
178800 0.050693605 0.18217295
179000 0.050728468 0.18216086
179200 0.050759792 0.18215
179400 0.050828091 0.18212632
179600 0.050902337 0.18210059
179800 0.050987575 0.18207105
180000 0.051028184 0.18205698
180200 0.051028162 0.18205699
180400 0.051067576 0.18204334
180600 0.051101672 0.18203153
180800 0.051160326 0.18201121
181000 0.051213773 0.18199271
181200 0.05125378 0.18197885
181400 0.051280433 0.18196963
181600 0.05129012 0.18196627
181800 0.051309661 0.18195951
182000 0.051324049 0.18195453
182200 0.051354519 0.18194398
182400 0.051363185 0.18194098
182600 0.051395465 0.18192981
182800 0.051437984 0.1819151
183000 0.051474458 0.18190248
183200 0.051487932 0.18189781
