Time Strain Concentration
140800 0.041644756 0.18432775
141000 0.041663214 0.18432122
141200 0.041728687 0.18429805
141400 0.041785419 0.18427798
141600 0.041844862 0.18425695
141800 0.041923235 0.18422924
142000 0.042012773 0.18419758
142200 0.042082047 0.18417309
142400 0.042183098 0.18413737
142600 0.042206214 0.18412921
142800 0.042261497 0.18410967
143000 0.042341355 0.18408146
143200 0.042415511 0.18405527
143400 0.042478524 0.18403302
143600 0.042524449 0.18401681
143800 0.042561554 0.18400371
144000 0.042630829 0.18397926
144200 0.042660929 0.18396864
144400 0.042735396 0.18394236
144600 0.042794635 0.18392147
144800 0.042839852 0.18390552
145000 0.04287306 0.1838938
145200 0.042893714 0.18388652
145400 0.042904863 0.18388259
145600 0.04292589 0.18387517
145800 0.042977623 0.18385693
146000 0.04304832 0.18383201
146200 0.043117206 0.18380773
146400 0.043147654 0.183797
146600 0.043203484 0.18377733
146800 0.043249685 0.18376105
147000 0.043290768 0.18374658
147200 0.04334077 0.18372897
147400 0.043405296 0.18370625
147600 0.043480522 0.18367976
147800 0.043547157 0.1836563
148000 0.043557703 0.18365259
148200 0.043606367 0.18363546
148400 0.043653908 0.18361873
148600 0.04370968 0.18359911
148800 0.043756604 0.1835826
149000 0.043818939 0.18356068
149200 0.043879588 0.18353935
149400 0.043970574 0.18350736
149600 0.04404685 0.18348054
149800 0.04412069 0.18345459
150000 0.044220933 0.18341937
150200 0.044335793 0.18337903
150400 0.044440123 0.1833424
150600 0.044518517 0.18331488
150800 0.044575893 0.18329474
151000 0.04464346 0.18327103
151200 0.044694458 0.18325314
151400 0.044773298 0.18322548
151600 0.044846036 0.18319997
151800 0.044886221 0.18318588
152000 0.044890463 0.18318439
152200 0.044924951 0.1831723
152400 0.045024983 0.18313723
152600 0.045099512 0.18311111
152800 0.045167849 0.18308717
153000 0.045190951 0.18307908
153200 0.045235106 0.18306361
153400 0.045282253 0.1830471
153600 0.045333238 0.18302924
153800 0.045384983 0.18301112
154000 0.045415808 0.18300033
154200 0.045438575 0.18299236
154400 0.04549628 0.18297216
154600 0.045536979 0.18295791
154800 0.045576655 0.18294403
155000 0.045621402 0.18292837
155200 0.04570012 0.18290083
155400 0.045779344 0.18287312
155600 0.045819967 0.18285891
155800 0.045879597 0.18283806
156000 0.045908807 0.18282785
156200 0.045886599 0.18283562
156400 0.045924194 0.18282247
156600 0.045953852 0.1828121
156800 0.045983219 0.18280184
157000 0.046025749 0.18278697
157200 0.046082862 0.18276702
157400 0.046135312 0.18274869
157600 0.046194745 0.18272793
157800 0.046278241 0.18269876
158000 0.046351878 0.18267305
158200 0.046443353 0.18264111
158400 0.046549626 0.18260402
158600 0.046612725 0.18258201
158800 0.046687089 0.18255606
159000 0.046744771 0.18253594
159200 0.046812255 0.18251241
159400 0.046873416 0.18249108
159600 0.04692756 0.18247221
159800 0.047008199 0.1824441
160000 0.047107415 0.18240953
160200 0.047180627 0.18238403
160400 0.04725904 0.18235671
160600 0.047316552 0.18233669
160800 0.047403124 0.18230655
161000 0.047449341 0.18229046
161200 0.047539755 0.18225899
161400 0.047628683 0.18222805
161600 0.047700603 0.18220304
161800 0.047749347 0.18218608
162000 0.047783217 0.1821743
162200 0.047814178 0.18216354
162400 0.047840421 0.18215441
162600 0.047897327 0.18213463
162800 0.047964705 0.18211121
163000 0.04800531 0.1820971
163200 0.0480474 0.18208247
163400 0.048094776 0.18206601
163600 0.048158915 0.18204373
163800 0.048208055 0.18202666
164000 0.048298162 0.18199537
164200 0.048333432 0.18198313
164400 0.048367811 0.18197119
164600 0.048448051 0.18194334
164800 0.048512142 0.1819211
165000 0.048558467 0.18190502
165200 0.048601444 0.18189011
165400 0.048670882 0.18186603
165600 0.048772487 0.18183079
165800 0.048869727 0.18179708
166000 0.048959464 0.18176597
166200 0.048999582 0.18175207
166400 0.049037993 0.18173876
166600 0.049091236 0.18172031
166800 0.049158844 0.18169689
167000 0.049217358 0.18167663
167200 0.049293564 0.18165024
167400 0.049336369 0.18163542
167600 0.049393848 0.18161552
167800 0.049481518 0.18158518
168000 0.049551412 0.181561
168200 0.049593637 0.18154639
168400 0.049655156 0.18152511
168600 0.049714415 0.18150462
168800 0.049816908 0.18146918
169000 0.049920628 0.18143332
169200 0.050034386 0.18139401
169400 0.050145168 0.18135575
169600 0.050234677 0.18132483
169800 0.050297174 0.18130326
170000 0.050387789 0.18127198
170200 0.05047024 0.18124352
170400 0.050517102 0.18122735
170600 0.05055866 0.18121301
170800 0.050618073 0.18119252
171000 0.050702912 0.18116326
171200 0.050810534 0.18112615
171400 0.050901604 0.18109476
171600 0.050954499 0.18107653
171800 0.050989608 0.18106443
172000 0.051019034 0.1810543
172200 0.051035895 0.18104849
172400 0.051126508 0.18101727
172600 0.051189952 0.18099542
172800 0.051295422 0.18095911
173000 0.051355005 0.1809386
173200 0.051404521 0.18092156
173400 0.051451027 0.18090555
173600 0.05154121 0.18087452
173800 0.051569443 0.18086481
174000 0.051620888 0.18084712
