time,numberMonsInNetwork
5779000.0,2663.0
5780000.0,2675.0
5781000.0,2686.0
5782000.0,2682.0
5783000.0,2677.0
5784000.0,2674.0
5785000.0,2677.0
5786000.0,2670.0
5787000.0,2653.0
5788000.0,2656.0
5789000.0,2653.0
5790000.0,2660.0
5791000.0,2654.0
5792000.0,2654.0
5793000.0,2659.0
5794000.0,2663.0
5795000.0,2665.0
5796000.0,2668.0
5797000.0,2662.0
5798000.0,2662.0
5799000.0,2659.0
5800000.0,2660.0
5801000.0,2648.0
5802000.0,2646.0
5803000.0,2646.0
5804000.0,2648.0
5805000.0,2642.0
5806000.0,2639.0
5807000.0,2628.0
5808000.0,2653.0
5809000.0,2647.0
5810000.0,2659.0
5811000.0,2665.0
5812000.0,2664.0
5813000.0,2676.0
5814000.0,2690.0
5815000.0,2686.0
5816000.0,2686.0
5817000.0,2685.0
5818000.0,2667.0
5819000.0,2674.0
5820000.0,2658.0
5821000.0,2645.0
5822000.0,2656.0
5823000.0,2655.0
5824000.0,2668.0
5825000.0,2662.0
5826000.0,2664.0
5827000.0,2655.0
5828000.0,2645.0
5829000.0,2651.0
5830000.0,2664.0
5831000.0,2680.0
5832000.0,2683.0
5833000.0,2681.0
5834000.0,2683.0
5835000.0,2688.0
5836000.0,2672.0
5837000.0,2664.0
5838000.0,2665.0
5839000.0,2667.0
5840000.0,2665.0
5841000.0,2665.0
5842000.0,2662.0
5843000.0,2656.0
5844000.0,2669.0
5845000.0,2666.0
5846000.0,2660.0
5847000.0,2670.0
5848000.0,2671.0
5849000.0,2676.0
5850000.0,2671.0
5851000.0,2670.0
5852000.0,2657.0
5853000.0,2658.0
5854000.0,2651.0
5855000.0,2660.0
5856000.0,2659.0
5857000.0,2669.0
5858000.0,2670.0
5859000.0,2667.0
5860000.0,2667.0
5861000.0,2657.0
5862000.0,2705.0
5863000.0,2690.0
5864000.0,2683.0
5865000.0,2690.0
5866000.0,2697.0
5867000.0,2690.0
5868000.0,2690.0
5869000.0,2683.0
5870000.0,2665.0
5871000.0,2665.0
5872000.0,2677.0
5873000.0,2669.0
5874000.0,2675.0
5875000.0,2650.0
5876000.0,2645.0
5877000.0,2642.0
5878000.0,2645.0
5879000.0,2649.0
5880000.0,2640.0
5881000.0,2643.0
5882000.0,2644.0
5883000.0,2647.0
5884000.0,2644.0
5885000.0,2638.0
5886000.0,2634.0
5887000.0,2657.0
5888000.0,2659.0
5889000.0,2655.0
5890000.0,2656.0
5891000.0,2656.0
5892000.0,2649.0
5893000.0,2660.0
5894000.0,2655.0
5895000.0,2656.0
